"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","symbol","ENTREZID"
6.99151069716919e-18,0.341591268750997,0.958,0.93,1.29238075237172e-13,"up","Ptma","19231"
7.89237503604005e-18,0.398397812925114,0.828,0.755,1.458905525412e-13,"up","Prdx1","18477"
8.7373064239731e-18,0.431454775505474,0.751,0.636,1.61509109247143e-13,"up","Ndufa2","17991"
9.20945649858676e-18,0.746357510409426,0.602,0.458,1.70236803376376e-13,"up","Mt2","17750"
1.13513216815962e-17,0.33346305079978,0.842,0.75,2.09829181284305e-13,"up","Rpl36al","66483"
1.14389538477659e-17,0.337420489499914,0.908,0.843,2.11449061875953e-13,"up","Tmsb4x","19241"
1.20125567641791e-17,0.645318839887695,0.579,0.447,2.2205211178585e-13,"up","Tmem256","69186"
1.23878031650136e-17,0.361808147326306,0.928,0.864,2.28988541505277e-13,"up","Tmsb10","19240"
1.87162563313624e-17,0.425377624328535,0.755,0.659,3.45969998285233e-13,"up","Cox6a1","12861"
2.51166312209782e-17,0.403438961787748,0.767,0.667,4.64280928119781e-13,"up","Cfl1","12631"
2.79004267268549e-17,0.5182329094468,0.668,0.556,5.15739388045913e-13,"up","Snrpe","20643"
