cpd_id	cpd_name
cpd_220	dTMP
cpd_221	eicosapentaenoate
cpd_222	epiandrosterone
cpd_223	erythronate
cpd_224	ethyl glucuronide
cpd_225	fructose/glucose/galactose
cpd_226	fucose
cpd_227	fumarate/maleate
cpd_228	gabapentin
cpd_229	gemfibrozil
cpd_230	gentisate
cpd_231	glutamate
cpd_232	glycerate
cpd_233	glycocholate
cpd_234	guanine
cpd_235	guanosine
cpd_236	heptadecanoate
cpd_237	homovanillate
cpd_238	hydrochlorothiazide
cpd_239	hydrocinnamate
cpd_240	hypoxanthine
cpd_241	imidazolelactate
cpd_242	indole-3-propionate
cpd_243	indoxyl sulfate
cpd_244	inosine
cpd_245	lactate
cpd_246	lactose
cpd_247	leucine
cpd_248	linoleoyl ethanolamide
cpd_249	lithocholate
cpd_250	malate
cpd_251	malonate
cpd_252	methionine
cpd_253	N6-acetyllysine
cpd_254	N-acetylglutamate
cpd_255	nicotinate
cpd_256	norepinephrine
cpd_257	orotate
cpd_258	oxalate
cpd_259	pantothenate
cpd_260	pentose monophosphate
cpd_261	phenylacetate
cpd_262	phenylacetylglutamine
cpd_263	phenylalanine
cpd_264	proline
cpd_265	propionate
cpd_266	pseudouridine
cpd_267	pyrocatechol
cpd_268	riboflavin
cpd_269	ribothymidine
cpd_270	saccharin
cpd_271	salicylate
cpd_272	sebacate
cpd_273	serine
cpd_274	shikimate
cpd_275	sorbitol
cpd_276	suberate
cpd_277	succinate
cpd_278	tartarate
cpd_279	taurine
cpd_280	tetrahydro-1-methyl-beta-carboline-3-carboxylate
cpd_281	threonine
cpd_282	thymine
cpd_283	tryptophan
cpd_284	tyrosine
cpd_285	UMP
cpd_286	uracil
cpd_287	urate
cpd_288	uridine
cpd_289	valerate/isovalerate
cpd_290	xanthine
cpd_291	xanthurenate
cpd_292	xylose
cpd_293	10-heptadecenoate
cpd_294	10-nonadecenoate
cpd_295	12.13-diHOME
cpd_296	1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate
cpd_297	13-cis-retinoic acid
cpd_298	13-docosenoate
cpd_299	17-methylstearate
cpd_300	2-hydroxyhexadecanoate
cpd_301	2-hydroxyibuprofen
cpd_302	2-hydroxyoctanoate
cpd_303	3-hydroxydecanoate
cpd_304	3-hydroxyoctanoate
cpd_305	4-hydroxystyrene
cpd_306	9.10-diHOME
cpd_307	acesulfame
cpd_308	acetytyrosine
cpd_309	adrenate
cpd_310	alpha-CEHC
cpd_311	alpha-linolenate
cpd_312	alpha-muricholate
cpd_313	arachidate
cpd_314	arachidonate
cpd_315	azelate
cpd_316	caprate
cpd_317	caproate
cpd_318	carboxyibuprofen
cpd_319	carnosol
cpd_320	carnosol_isomer
cpd_321	cetrizine
cpd_322	chenodeoxycholate
cpd_323	cholate
cpd_324	crustecdysone
cpd_325	deoxycholate
cpd_326	docosahexaenoate
cpd_327	docosapentaenoate
cpd_328	dodecanedioate
cpd_329	dodecanoate
cpd_330	eicosadienoate
cpd_331	eicosanedioate
cpd_332	eicosapentaenoate
cpd_333	eicosatrienoate
cpd_334	eicosenoate
cpd_335	furosemide
cpd_336	glycochenodeoxycholate
cpd_337	glycocholate
cpd_338	glycodeoxycholate
cpd_339	glycolithocholate
cpd_340	glycoursodeoxycholate
cpd_341	heptanoate
cpd_342	hexadecanedioate
cpd_343	hydrochlorothiazide
cpd_344	hydrocinnamate
cpd_345	hydroxymyristate
cpd_346	hyodeoxycholate/ursodeoxycholate
cpd_347	indoleacetate
cpd_348	ketodeoxycholate
cpd_349	linoleate
cpd_350	lithocholate
cpd_351	mandelate
cpd_352	masilinate
cpd_353	myristate
cpd_354	myristoleate
cpd_355	nervonic acid
cpd_356	nonadecanoate
cpd_357	oleanate
cpd_358	oleate
cpd_359	olmesartan
cpd_360	oxymetazoline
cpd_361	oxypurinol
cpd_362	palmitate
cpd_363	palmitoleate
cpd_364	palmitoylethanolamide
cpd_365	pentadecanoate
cpd_366	phenyllactate
cpd_367	p-hydroxyphenylacetate
cpd_368	phytanate
cpd_369	porphobilinogen
cpd_370	saccharin
cpd_371	salicylate
cpd_372	sebacate
cpd_373	stearate
cpd_374	tauro-alpha-muricholate/tauro-beta-muricholate
cpd_375	taurochenodeoxycholate
cpd_376	taurocholate
cpd_377	taurodeoxycholate
cpd_378	taurohyodeoxycholate/tauroursodeoxycholate
cpd_379	taurolithocholate
cpd_380	tetradecanedioate
cpd_381	theophylline
cpd_382	undecanedionate
cpd_383	urobilin
cpd_384	5alpha-cholestan-3beta-ol
cpd_385	beta-sitosterol
cpd_386	C14:0 CE
cpd_387	C14:0 LPC
cpd_388	C16:0 CE
cpd_389	C16:0 CE [M+NH4]+
cpd_390	C16:0 Ceramide (d18:1)
cpd_391	C16:0 LPC
cpd_392	C16:0 LPE
cpd_393	C16:0 SM
cpd_394	C16:1 CE
cpd_395	C16:1 CE [M+NH4]+
cpd_396	C16:1 LPC
cpd_397	C16:1 LPE
cpd_398	C16:1 MAG
cpd_399	C16:1 MAG [M+NH4]+
cpd_400	C16:1 SM
cpd_401	C18:0 CE
cpd_402	C18:0 CE [M+NH4]+
cpd_403	C18:0 LPC
cpd_404	C18:0 LPE
cpd_405	C18:0 MAG
cpd_406	C18:0 MAG [M+NH4]+
cpd_407	C18:0 SM
cpd_408	C18:1 CE
cpd_409	C18:1 CE [M+NH4]+
cpd_410	C18:1 LPC
cpd_411	C18:1 LPE
cpd_412	C18:1 SM
cpd_413	C18:2 CE
cpd_414	C18:2 CE [M+NH4]+
cpd_415	C18:2 LPC
cpd_416	C18:2 LPE
cpd_417	C18:3 CE
cpd_418	C18:3 CE [M+NH4]+
cpd_419	C20:0 LPE
cpd_420	C20:0 SM
cpd_421	C20:3 CE
cpd_422	C20:3 CE [M+NH4]+
cpd_423	C20:3 LPC
cpd_424	C20:4 CE
cpd_425	C20:4 CE [M+NH4]+
cpd_426	C20:4 LPC
cpd_427	C20:4 LPE
cpd_428	C20:5 CE
cpd_429	C20:5 CE [M+NH4]+
cpd_430	C20:5 LPC
cpd_431	C22:0 Ceramide (d18:1)
cpd_432	C22:0 LPE
cpd_433	C22:0 SM
cpd_434	C22:1 MAG
cpd_435	C22:1 MAG [M+NH4]+
cpd_436	C22:1 SM
cpd_437	C22:4 CE
cpd_438	C22:4 CE [M+NH4]+
cpd_439	C22:5 CE
cpd_440	C22:5 CE [M+NH4]+
cpd_441	C22:6 CE
cpd_442	C22:6 CE [M+NH4]+
cpd_443	C22:6 LPC
cpd_444	C24:0 Ceramide (d18:1)
cpd_445	C24:0 SM
cpd_446	C24:1 Ceramide (d18:1)
cpd_447	C24:1 SM
cpd_448	C2 Ceramide (d18:1)
cpd_449	C30:0 DAG
cpd_450	C30:0 PC
cpd_451	C32:0 DAG
cpd_452	C32:0 PC
cpd_453	C32:0 PE
cpd_454	C32:1 DAG
cpd_455	C32:1 DAG [M+NH4]+
cpd_456	C32:1 PC
cpd_457	C32:2 DAG
cpd_458	C32:2 DAG [M+NH4]+
cpd_459	C34:0 DAG
cpd_460	C34:0 PC
cpd_461	C34:0 PE
cpd_462	C34:1 DAG
cpd_463	C34:1 DAG [M+NH4]+
cpd_464	C34:1 PC
cpd_465	C34:1 PC plasmalogen
cpd_466	C34:2 DAG
cpd_467	C34:2 DAG [M+NH4]+
cpd_468	C34:2 PC
cpd_469	C34:2 PC plasmalogen
cpd_470	C34:3 DAG
cpd_471	C34:3 DAG [M+NH4]+
cpd_472	C34:3 PC
cpd_473	C34:4 PC plasmalogen
cpd_474	C36:0 DAG
cpd_475	C36:0 DAG [M+NH4]+
cpd_476	C36:1 DAG
cpd_477	C36:1 DAG [M+NH4]+
cpd_478	C36:1 PC
cpd_479	C36:1 PC plasmalogen
cpd_480	C36:2 DAG
cpd_481	C36:2 DAG [M+NH4]+
cpd_482	C36:2 PC
cpd_483	C36:2 PC plasmalogen
cpd_484	C36:3 DAG
